综合实力总排,学校,队名,城市,队伍类型,原志愿赛区,录取赛区,录取状态,资格状态,志愿来源,综合实力分,赛区内实力排名,积分榜排名,积分,完整形态排名,2025 战绩,2026 RMUL,赛区国赛名额,赛区复活赛名额,距录取赛区(km),距南部(km),距东部(km),距北部(km),边界标签
1,东北大学,TDT,沈阳市,甲级,北部,北部,承办,国赛,实时提交,79.5683,1,3,22.7,8,殿军,冠军,10,5,0,1784,789,0,
2,中国科学技术大学,RoboWalker,合肥市,甲级,东部,东部,承办,国赛,实时提交,77.8075,1,19,16.86,20,亚军,冠军,8,7,532,582,532,1232,
3,中国石油大学（华东）,RPS,青岛市,甲级,东部,北部,调剂,国赛,实时提交,72.1466,2,11,18.72,10,八强,冠军,10,5,690,1118,299,690,
4,上海交通大学,交龙,上海市,甲级,南部,南部,志愿,国赛,实时提交,70.3186,1,1,25.0,46,冠军,殿军,10,4,887,887,724,1188,
5,华南农业大学,Taurus,广州市,甲级,南部,南部,志愿,国赛,实时提交,68.1839,2,5,20.1,3,十六强,季军,10,4,564,564,1549,2281,
6,西安交通大学,笃行,西安市,甲级,东部,东部,志愿,国赛,实时提交,64.768,2,10,18.8,1,三十二强,季军,8,7,792,776,792,1523,
7,华南理工大学,华南虎,广州市,甲级,南部,南部,志愿,国赛,实时提交,63.8247,3,2,23.3,12,季军,—,10,4,564,564,1549,2281,
8,太原工业学院,火线,太原市,甲级,东部,东部,志愿,国赛,实时提交,63.5782,3,17,17.0,13,十六强,亚军,8,7,426,1076,426,1026,
9,浙江大学,Hello World,杭州市,甲级,东部,东部,志愿,国赛,实时提交,59.7249,4,4,21.1,42,八强,冠军,8,7,767,738,767,1317,
10,武汉工程大学,Nautilus,武汉市,甲级,东部,东部,志愿,国赛,实时提交,59.6323,5,29,14.3,14,三十二强,冠军,8,7,724,294,724,1491,
11,西北工业大学,WMJ,西安市,甲级,北部,北部,志愿,国赛,实时提交,56.8996,3,36,12.5,9,三十二强,殿军,10,5,1523,776,792,1523,
12,华北科技学院,风暴,廊坊市,甲级,东部,北部,调剂,国赛,实时提交,52.9642,4,44,11.28,6,复活赛,亚军,10,5,622,1306,322,622,
13,中南大学,FYT,长沙市,甲级,南部,南部,志愿,国赛,实时提交,52.3764,4,22,15.5,21,三十二强,殿军,10,4,0,0,1017,1784,
14,哈尔滨工业大学（威海）,HERO,威海市,甲级,北部,北部,志愿,国赛,实时提交,51.5301,5,15,17.2,28,三十二强,季军,10,5,490,1341,454,490,
15,同济大学,SuperPower,上海市,甲级,北部,北部,志愿,国赛,实时提交,49.8188,6,27,14.4,18,八强,—,10,5,1188,887,724,1188,
16,五邑大学,IMCA,江门市,甲级,南部,南部,志愿,国赛,实时提交,48.5486,5,17,17.0,4,三十二强,—,10,4,625,625,1612,2344,
17,东莞理工学院,ACE,东莞市,甲级,南部,南部,志愿,国赛,实时提交,47.5713,6,61,8.61,2,分区赛,冠军,10,4,581,581,1550,2274,
18,太原科技大学,NewMaker,太原市,非甲级,东部,东部,志愿,国赛,实时提交,45.7937,6,75,8.0,5,—,冠军,8,7,426,1076,426,1026,
19,华东理工大学,起源,上海市,甲级,东部,东部,志愿,国赛,实时提交,45.5077,7,71,8.215,16,复活赛,季军,8,7,724,887,724,1188,
20,哈尔滨工业大学,I Hiter,哈尔滨市,甲级,北部,北部,志愿,国赛,实时提交,44.3756,7,9,19.3,23,十六强,—,10,5,509,2291,1286,509,
21,深圳大学,RobotPilots,深圳市,甲级,南部,南部,志愿,国赛,实时提交,43.7776,7,6,20.0,25,十六强,—,10,4,638,638,1596,2312,
22,北京理工大学,追梦,北京市,甲级,北部,北部,志愿,国赛,实时提交,42.4877,8,43,11.3,11,分区赛,亚军,10,5,628,1339,367,628,
23,大连理工大学,凌BUG,大连市,甲级,北部,北部,志愿,国赛,实时提交,41.6539,9,16,17.18,41,八强,—,10,5,356,1434,468,356,
24,太原理工大学,TRoMaC,太原市,甲级,南部,南部,志愿,国赛,实时提交,41.0301,8,13,18.04,30,十六强,—,10,4,1076,1076,426,1026,
25,广东工业大学,DynamicX,广州市,甲级,南部,南部,志愿,国赛,实时提交,39.4441,9,6,20.0,36,十六强,—,10,4,564,564,1549,2281,
26,南京航空航天大学金城学院,Born of Fire,南京市,甲级,东部,东部,志愿,国赛,实时提交,38.3013,8,26,14.6,77,三十二强,亚军,8,7,535,703,535,1161,国赛线
27,哈尔滨工业大学（深圳）,南工骁鹰,深圳市,甲级,北部,北部,志愿,国赛,实时提交,37.7702,10,32,13.535,7,复活赛,—,10,5,2312,638,1596,2312,国赛线
28,东南大学,3SE,南京市,甲级,东部,东部,志愿,复活赛,实时提交,37.2726,9,14,17.94,40,十六强,—,8,7,535,703,535,1161,复活起点
29,合肥工业大学（宣城校区）,WDR,宣城市,甲级,东部,东部,志愿,复活赛,实时提交,34.6891,10,65,8.415,26,分区赛,亚军,8,7,653,637,653,1278,
30,广州城市理工学院,野狼,广州市,甲级,南部,南部,志愿,国赛,实时提交,34.6539,10,52,9.465,27,分区赛,亚军,10,4,564,564,1549,2281,国赛线
31,江南大学霞客湾校区,SHARK,无锡市,非甲级,东部,东部,志愿,复活赛,实时提交,34.4846,11,220,3.125,22,—,亚军,8,7,636,800,636,1171,
32,北方工业大学,DreamTeam,北京市,甲级,北部,北部,志愿,复活赛,实时提交,34.1016,11,45,11.0,31,三十二强,—,10,5,628,1339,367,628,复活起点
33,电子科技大学中山学院,RoboBraver,中山市,甲级,南部,南部,志愿,复活赛,实时提交,33.8697,11,20,16.64,37,三十二强,—,10,4,633,633,1612,2339,复活起点
34,沈阳理工大学,Ambition,沈阳市,甲级,北部,北部,承办,复活赛,实时提交,32.922,12,51,9.505,24,—,殿军,10,5,0,1784,789,0,
35,哈尔滨工程大学,创梦之翼,哈尔滨市,甲级,北部,北部,志愿,复活赛,实时提交,28.3268,13,25,14.78,52,三十二强,—,10,5,509,2291,1286,509,
36,华中科技大学,狼牙,武汉市,甲级,东部,东部,志愿,复活赛,实时提交,28.2044,12,33,13.34,78,复活赛,季军,8,7,724,294,724,1491,
37,山东科技大学,SmartRobot,青岛市,甲级,东部,北部,调剂,复活赛,实时提交,28.05,14,24,14.8,53,三十二强,—,10,5,690,1118,299,690,
38,吉林大学,TARS Go,长春市,甲级,北部,北部,志愿,复活赛,实时提交,27.2655,15,23,14.9,56,三十二强,—,10,5,278,2062,1063,278,复活线
39,河北科技大学,Actor&Thinker,石家庄市,非甲级,北部,北部,志愿,未晋级,实时提交,26.4903,16,79,7.85,39,分区赛,殿军,10,5,867,1104,277,867,落选线
40,西安电子科技大学,IRobot,西安市,甲级,南部,南部,志愿,复活赛,实时提交,24.9754,12,35,12.965,67,分区赛,冠军,10,4,776,776,792,1523,
41,首都师范大学,PIE,北京市,甲级,东部,北部,调剂,未晋级,实时提交,23.9239,17,38,12.235,38,复活赛,—,10,5,628,1339,367,628,
42,桂林理工大学,群星,桂林市,甲级,南部,南部,志愿,复活赛,实时提交,23.851,13,69,8.25,58,分区赛,亚军,10,4,420,420,1421,2198,
43,南京理工大学,Alliance,南京市,甲级,东部,东部,承办,复活赛,实时提交,23.2934,13,42,11.415,19,—,—,8,7,535,703,535,1161,
44,仲恺农业工程学院,奇点,广州市,非甲级,南部,南部,志愿,复活赛,实时提交,23.2344,14,100,6.165,15,分区赛,—,10,4,564,564,1549,2281,复活线
45,长安大学,VGD,西安市,甲级,北部,北部,志愿,未晋级,实时提交,23.0314,18,72,8.17,17,分区赛,—,10,5,1523,776,792,1523,
46,南方科技大学,ARTINX,深圳市,甲级,东部,东部,志愿,复活赛,实时提交,22.6509,14,12,18.4,94,三十二强,—,8,7,1596,638,1596,2312,
47,中国石油大学（北京）,SPR,北京市,甲级,东部,北部,调剂,未晋级,实时提交,22.076,19,39,12.17,76,三十二强,—,10,5,628,1339,367,628,
48,中国矿业大学,CUBOT,徐州市,甲级,东部,东部,志愿,复活赛,实时提交,21.4738,15,30,13.6,85,三十二强,—,8,7,265,784,265,1000,复活线
49,广州航海学院,ICBK破冰船,广州市,非甲级,南部,南部,志愿,未晋级,实时提交,19.056,15,152,4.65,60,—,殿军,10,4,564,564,1549,2281,落选线
50,桂林电子科技大学,Evolution,桂林市,甲级,南部,南部,志愿,未晋级,实时提交,18.9238,16,28,14.365,32,分区赛,—,10,4,420,420,1421,2198,
51,南昌大学,Passion,南昌市,甲级,东部,东部,志愿,未晋级,实时提交,18.0567,16,21,15.7,62,复活赛,—,8,7,896,304,896,1608,落选线
52,华北理工大学,Horizon,唐山市,非甲级,北部,北部,志愿,未晋级,实时提交,17.6705,20,84,7.6,29,分区赛,—,10,5,504,1358,344,504,
53,合肥工业大学,苍穹,合肥市,甲级,东部,东部,志愿,未晋级,实时提交,16.4875,17,57,8.665,33,分区赛,—,8,7,532,582,532,1232,
54,天津大学,北洋机甲,天津市,甲级,北部,北部,志愿,未晋级,实时提交,16.0839,21,46,10.86,63,复活赛,—,10,5,579,1301,296,579,
55,安徽信息工程学院,Artisans,芜湖市,甲级,东部,东部,志愿,未晋级,实时提交,16.0179,18,65,8.415,34,分区赛,—,8,7,601,633,601,1244,
56,桂林信息科技学院,GIRT,桂林市,甲级,南部,南部,志愿,未晋级,实时提交,15.7766,17,34,12.975,68,复活赛,—,10,4,420,420,1421,2198,
57,福建师范大学,PKA,福州市,非甲级,东部,东部,志愿,未晋级,实时提交,15.4807,19,85,7.375,88,分区赛,殿军,8,7,1194,668,1194,1789,
58,武汉科技大学,崇实,武汉市,非甲级,东部,东部,志愿,未晋级,实时提交,14.2879,20,152,4.65,35,—,—,8,7,724,294,724,1491,
59,四川大学,火锅,成都市,甲级,南部,南部,志愿,未晋级,实时提交,13.7255,18,50,9.85,73,复活赛,—,10,4,905,905,1378,2125,
60,厦门大学嘉庚学院,TCR,漳州市,甲级,南部,南部,志愿,未晋级,实时提交,13.3365,19,56,9.235,74,复活赛,—,10,4,627,627,1381,2030,
61,山东理工大学,齐奇,淄博市,非甲级,北部,北部,志愿,未晋级,实时提交,12.6378,22,77,7.9,43,分区赛,—,10,5,722,1069,85,722,
62,北京理工大学（珠海）,毅恒,珠海市,甲级,东部,东部,承办,未晋级,实时提交,12.4796,21,40,12.055,91,复活赛,—,8,7,1635,662,1635,2358,
63,东北大学秦皇岛分校,征龙凌沧,秦皇岛市,甲级,北部,北部,志愿,未晋级,实时提交,12.204,23,63,8.515,45,分区赛,—,10,5,383,1440,425,383,
64,香港科技大学（广州）,PnX,广州市,非甲级,南部,南部,志愿,未晋级,实时提交,11.4167,20,120,5.425,44,分区赛,—,10,4,564,564,1549,2281,
65,南华大学,MA,衡阳市,非甲级,南部,南部,志愿,未晋级,实时提交,11.0379,21,77,7.9,48,分区赛,—,10,4,150,150,1166,1930,
66,江苏大学,Aurora,镇江市,非甲级,东部,东部,志愿,未晋级,实时提交,10.5197,22,114,5.6,47,分区赛,—,8,7,539,762,539,1126,
67,成都信息工程大学,风信子,成都市,非甲级,北部,北部,志愿,未晋级,实时提交,10.3886,24,82,7.775,50,分区赛,—,10,5,2125,905,1378,2125,
68,国防科技大学,军临,长沙市,甲级,南部,南部,志愿,未晋级,就近估算,10.2448,22,49,10.56,54,分区赛,—,10,4,0,0,1017,1784,
69,长沙理工大学,云嵌,长沙市,非甲级,南部,南部,承办,未晋级,实时提交,9.4462,23,105,5.975,51,分区赛,—,10,4,0,0,1017,1784,
70,复旦大学,星云EGA,上海市,非甲级,南部,南部,志愿,未晋级,实时提交,9.0142,24,220,3.125,49,—,—,10,4,887,887,724,1188,
71,深圳技术大学,悍匠,深圳市,非甲级,南部,南部,志愿,未晋级,实时提交,7.9548,25,79,7.85,59,分区赛,—,10,4,638,638,1596,2312,
72,上海工程技术大学,木鸢Birdiebot,上海市,甲级,东部,东部,承办,未晋级,实时提交,7.7922,23,31,13.565,69,分区赛,—,8,7,724,887,724,1188,
73,杭州电子科技大学,PHOENIX,杭州市,非甲级,东部,东部,志愿,未晋级,实时提交,7.7825,24,163,4.48,55,—,—,8,7,767,738,767,1317,
